OrderDate,ShipDate,ShipMode,State,Category,Sales,Profit,Discounts
2018-02-07,2018-02-10,Second Class,New York,Furniture,65.49,9.74,0.0
2018-02-08,2018-02-09,First Class,Nevada,Furniture,130.98,5.53,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,87.32,24.39,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,87.32,53.27,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,130.98,4.43,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,87.32,6.87,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,130.98,2.6,0.0
2018-02-11,2018-02-15,Standard Class,Virginia,Furniture,130.98,8.21,0.0
2018-02-11,2018-02-15,Standard Class,Virginia,Furniture,43.66,75.37,0.0
2018-02-11,2018-02-15,Second Class,Missouri,Furniture,261.96,15.22,0.0
2018-02-11,2018-02-15,Standard Class,Virginia,Furniture,87.32,103.16,0.0
2018-02-12,2018-02-18,Standard Class,California,Furniture,130.98,-24.29,0.2
2018-02-14,2018-02-18,Standard Class,Washington,Furniture,130.98,22.95,0.0
2018-02-14,2018-02-18,Standard Class,Washington,Furniture,130.98,4.77,0.0
2018-02-14,2018-02-18,Standard Class,Washington,Furniture,87.32,86.39,0.0
2018-02-14,2018-02-19,Second Class,Texas,Furniture,87.32,6.07,0.2
2018-02-15,2018-02-19,Standard Class,Washington,Furniture,52.39,7.21,0.2
2018-02-16,2018-02-21,Standard Class,Texas,Furniture,87.32,-1.73,0.8
2018-02-16,2018-02-21,Standard Class,Texas,Furniture,130.98,-13.93,0.8
2018-02-17,2018-02-24,Standard Class,Illinois,Furniture,18.71,8.81,0.2
2018-02-18,2018-02-18,Same Day,Texas,Furniture,52.39,-11.32,0.6
2018-02-18,2018-02-24,Standard Class,Texas,Furniture,130.98,-2.52,0.2
2018-02-20,2018-02-26,Standard Class,Indiana,Furniture,87.32,22.43,0.0
2018-02-20,2018-02-26,Standard Class,Indiana,Furniture,65.49,6.91,0.0
2018-02-20,2018-02-24,Standard Class,California,Furniture,130.98,6.22,0.0
2018-02-21,2018-02-25,Standard Class,Illinois,Furniture,52.39,-13.72,0.8
2018-02-22,2018-02-24,First Class,California,Furniture,87.32,9.33,0.0
2018-02-23,2018-02-27,Standard Class,Texas,Furniture,87.32,2.34,0.2
2018-02-23,2018-02-27,Standard Class,Texas,Furniture,87.32,-6.86,0.8
2018-02-24,2018-03-02,Standard Class,Oregon,Furniture,65.49,11.1,0.2
2018-02-24,2018-03-02,Standard Class,Oregon,Furniture,87.32,7.69,0.2
2018-02-27,2018-03-03,First Class,Ohio,Furniture,65.49,3.4,0.2
2018-03-01,2018-03-07,Standard Class,Texas,Furniture,87.32,8.58,0.2
2018-03-01,2018-03-05,Standard Class,Texas,Furniture,43.66,-34.95,0.6
2018-03-01,2018-03-05,Standard Class,Texas,Furniture,87.32,-22.67,0.2
2018-03-01,2018-03-07,Standard Class,Texas,Furniture,87.32,-43.03,0.3
2018-03-01,2018-03-05,Standard Class,Texas,Furniture,43.66,0.0,0.3
2018-03-01,2018-03-05,Standard Class,New York,Furniture,87.32,1.6,0.0
2018-03-01,2018-03-05,Standard Class,Illinois,Furniture,87.32,5.68,0.2
2018-03-01,2018-03-06,Second Class,Washington,Furniture,130.98,51.48,0.2
2018-03-01,2018-03-05,Standard Class,Texas,Furniture,52.39,-3.53,0.2
2018-03-01,2018-03-05,Standard Class,Illinois,Furniture,43.66,-172.12,0.3
2018-03-02,2018-03-08,Standard Class,New York,Furniture,130.98,5.34,0.0
2018-03-02,2018-03-08,Standard Class,New York,Furniture,52.39,17.47,0.0
2018-03-02,2018-03-06,Standard Class,Pennsylvania,Furniture,261.96,1.07,0.2
2018-03-02,2018-03-06,Standard Class,Pennsylvania,Furniture,87.32,32.13,0.2
2018-03-03,2018-03-07,Standard Class,California,Furniture,87.32,-23.49,0.2
2018-03-03,2018-03-08,Standard Class,New York,Furniture,261.96,4.6,0.0
2018-03-03,2018-03-08,Standard Class,New York,Furniture,87.32,40.87,0.2
2018-03-03,2018-03-08,Standard Class,New York,Furniture,52.39,9.18,0.2
2018-03-03,2018-03-08,Standard Class,Ohio,Furniture,87.32,4.91,0.2
2018-03-03,2018-03-08,Standard Class,Ohio,Furniture,52.39,-199.62,0.5
2018-03-03,2018-03-08,Standard Class,Ohio,Furniture,32.75,-10.05,0.2
2018-03-03,2018-03-07,Standard Class,Texas,Furniture,87.32,-459.61,0.8
2018-03-03,2018-03-07,Second Class,North Carolina,Furniture,65.49,3.4,0.2
2018-03-04,2018-03-09,Standard Class,Florida,Furniture,87.32,2.33,0.2
2018-03-04,2018-03-04,Same Day,South Carolina,Furniture,52.39,17.75,0.0
2018-03-05,2018-03-08,Second Class,New York,Furniture,87.32,15.48,0.0
2018-03-05,2018-03-08,Second Class,New York,Furniture,87.32,177.59,0.0
2018-03-05,2018-03-08,Second Class,New York,Furniture,130.98,5.4,0.0
2018-03-05,2018-03-08,Second Class,New York,Furniture,43.66,16.75,0.2
2018-03-05,2018-03-08,Second Class,New York,Furniture,130.98,45.98,0.0
2018-03-07,2018-03-08,First Class,Washington,Furniture,261.96,5.48,0.2
2018-03-07,2018-03-08,First Class,Washington,Furniture,87.32,4.66,0.0
2018-03-07,2018-03-08,First Class,Washington,Furniture,87.32,4.86,0.0
2018-03-07,2018-03-11,Second Class,Washington,Furniture,130.98,33.64,0.2
2018-03-07,2018-03-12,Standard Class,Washington,Furniture,52.39,9.5,0.0
2018-03-07,2018-03-12,Standard Class,Washington,Furniture,52.39,0.0,0.0
2018-03-07,2018-03-12,Standard Class,Washington,Furniture,43.66,21.84,0.2
2018-03-07,2018-03-12,Standard Class,Washington,Furniture,130.98,54.18,0.2
2018-03-10,2018-03-14,Standard Class,Michigan,Furniture,130.98,10.74,0.0
2018-03-10,2018-03-17,Standard Class,Colorado,Furniture,87.32,-15.91,0.2
2018-03-10,2018-03-17,Standard Class,Colorado,Furniture,65.49,9.36,0.2
2018-03-11,2018-03-13,Second Class,Kentucky,Furniture,87.32,164.63,0.0
2018-03-11,2018-03-15,Standard Class,California,Furniture,87.32,2.07,0.0
2018-03-11,2018-03-13,Second Class,Kentucky,Furniture,130.98,14.17,0.0
2018-03-11,2018-03-13,Second Class,Kentucky,Furniture,87.32,7.02,0.0
2018-03-11,2018-03-14,Second Class,New York,Furniture,18.71,49.01,0.0
2018-03-11,2018-03-16,Second Class,Ohio,Furniture,43.66,1.7,0.2
2018-03-11,2018-03-13,Second Class,Kentucky,Furniture,87.32,38.16,0.0
2018-03-11,2018-03-16,Second Class,Ohio,Furniture,52.39,2.29,0.2
2018-03-14,2018-03-17,First Class,Illinois,Furniture,130.98,2.64,0.2
2018-03-14,2018-03-17,First Class,Illinois,Furniture,130.98,156.05,0.3
2018-03-14,2018-03-19,Standard Class,Utah,Furniture,130.98,20.17,0.2
2018-03-14,2018-03-19,Standard Class,Utah,Furniture,130.98,5.77,0.0
2018-03-14,2018-03-19,Standard Class,Utah,Furniture,21.83,6.62,0.0
2018-03-14,2018-03-18,Standard Class,Florida,Furniture,43.66,31.87,0.2
2018-03-14,2018-03-19,Standard Class,Utah,Furniture,65.49,11.17,0.2
2018-03-14,2018-03-19,Standard Class,Virginia,Furniture,65.49,284.98,0.0
2018-03-14,2018-03-18,Standard Class,California,Furniture,261.96,1.25,0.0
2018-03-14,2018-03-18,Standard Class,California,Furniture,130.98,4.75,0.0
2018-03-14,2018-03-19,Standard Class,Utah,Furniture,261.96,3.24,0.0
2018-03-15,2018-03-19,Standard Class,Florida,Furniture,65.49,-31.67,0.7
2018-03-15,2018-03-19,Standard Class,Florida,Furniture,87.32,-5.53,0.7
2018-03-15,2018-03-19,Standard Class,Florida,Furniture,87.32,47.82,0.2
2018-03-15,2018-03-19,Standard Class,Florida,Furniture,261.96,17.85,0.2
2018-03-15,2018-03-19,Standard Class,Florida,Furniture,87.32,5.14,0.2
2018-03-16,2018-03-21,Second Class,North Carolina,Furniture,130.98,29.5,0.2
2018-03-17,2018-03-17,Same Day,Texas,Furniture,261.96,1.88,0.2
2018-03-17,2018-03-20,Second Class,Pennsylvania,Furniture,43.66,41.15,0.2
2018-03-17,2018-03-21,Standard Class,Mississippi,Furniture,87.32,8.49,0.0
2018-03-17,2018-03-21,Standard Class,Mississippi,Furniture,65.49,7.68,0.0
2018-03-17,2018-03-21,Standard Class,Mississippi,Furniture,130.98,6.35,0.0
2018-03-17,2018-03-21,Standard Class,Mississippi,Furniture,130.98,14.92,0.0
2018-03-17,2018-03-21,Standard Class,Mississippi,Furniture,87.32,5.37,0.0
2018-03-17,2018-03-17,Same Day,Texas,Furniture,87.32,5.44,0.2
2018-03-17,2018-03-17,Same Day,Texas,Furniture,130.98,0.33,0.2
2018-03-17,2018-03-24,Standard Class,Minnesota,Furniture,37.42,23.59,0.0
2018-03-17,2018-03-21,Standard Class,New York,Furniture,37.42,16.38,0.0
2018-03-17,2018-03-21,Standard Class,New York,Furniture,87.32,-122.78,0.4
2018-03-17,2018-03-21,Standard Class,New York,Furniture,65.49,-553.65,0.4
2018-03-17,2018-03-21,Standard Class,New York,Furniture,37.42,-447.59,0.4
2018-03-17,2018-03-24,Standard Class,Minnesota,Furniture,43.66,17.22,0.0
2018-03-17,2018-03-24,Standard Class,Minnesota,Furniture,26.2,25.1,0.0
2018-03-17,2018-03-24,Standard Class,Minnesota,Furniture,43.66,5.71,0.0
2018-03-17,2018-03-24,Standard Class,Minnesota,Furniture,130.98,36.57,0.0
2018-03-17,2018-03-21,Standard Class,New York,Furniture,65.49,75.97,0.0
2018-03-18,2018-03-21,Second Class,California,Furniture,26.2,70.49,0.15
2018-03-18,2018-03-24,Standard Class,California,Furniture,65.49,415.99,0.2
2018-03-18,2018-03-24,Standard Class,California,Furniture,130.98,14.43,0.0
2018-03-18,2018-03-24,Standard Class,California,Furniture,37.42,334.11,0.0
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,87.32,15.29,0.2
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,65.49,7.48,0.2
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,130.98,8.08,0.2
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,87.32,1.0,0.2
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,43.66,-1811.08,0.5
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,65.49,-16.43,0.5
2018-03-18,2018-03-23,Standard Class,Florida,Furniture,87.32,5.92,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,130.98,53.2,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,87.32,5.5,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,87.32,1.37,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,52.39,-25.74,0.7
2018-03-19,2018-03-21,First Class,Florida,Furniture,87.32,1.96,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,65.49,3.99,0.2
2018-03-19,2018-03-21,First Class,Florida,Furniture,87.32,28.35,0.2
2018-03-21,2018-03-25,Standard Class,Tennessee,Furniture,87.32,6.59,0.2
2018-03-21,2018-03-25,Standard Class,Tennessee,Furniture,52.39,22.2,0.2
2018-03-21,2018-03-25,Standard Class,Tennessee,Furniture,87.32,-10.92,0.2
2018-03-21,2018-03-25,Standard Class,Virginia,Furniture,65.49,2.7,0.0
2018-03-21,2018-03-25,Standard Class,Virginia,Furniture,87.32,60.26,0.0
2018-03-21,2018-03-25,Standard Class,Virginia,Furniture,87.32,59.01,0.0
2018-03-21,2018-03-25,Standard Class,Virginia,Furniture,37.42,909.98,0.0
2018-03-21,2018-03-25,Standard Class,North Carolina,Furniture,261.96,-3.86,0.2
2018-03-21,2018-03-25,Standard Class,Ohio,Furniture,87.32,1.59,0.2
2018-03-21,2018-03-25,Standard Class,Ohio,Furniture,130.98,1.2,0.2
2018-03-21,2018-03-25,Standard Class,Virginia,Furniture,52.39,6.62,0.0
2018-03-22,2018-03-26,Standard Class,North Carolina,Furniture,65.49,-5.86,0.7
2018-03-22,2018-03-26,Standard Class,North Carolina,Furniture,52.39,-39.46,0.7
2018-03-22,2018-03-26,Standard Class,Arizona,Furniture,87.32,23.24,0.2
2018-03-22,2018-03-26,Standard Class,Arizona,Furniture,87.32,-35.36,0.2
2018-03-22,2018-03-22,Same Day,Indiana,Furniture,130.98,6.51,0.0
2018-03-23,2018-03-26,First Class,Florida,Furniture,87.32,3.22,0.2
2018-03-23,2018-03-26,Second Class,California,Furniture,130.98,85.9,0.0
2018-03-23,2018-03-26,Second Class,California,Furniture,43.66,37.8,0.2
2018-03-24,2018-03-28,Standard Class,New York,Furniture,52.39,11.7,0.0
2018-03-24,2018-03-29,Second Class,California,Furniture,130.98,14.57,0.0
2018-03-25,2018-04-01,Standard Class,New York,Furniture,37.42,65.21,0.1
2018-03-25,2018-03-30,Standard Class,California,Furniture,130.98,1.9,0.0
2018-03-25,2018-03-30,Standard Class,California,Furniture,130.98,3.72,0.0
2018-03-25,2018-03-30,Standard Class,California,Furniture,65.49,15.92,0.0
2018-03-25,2018-03-30,Standard Class,California,Furniture,43.66,9.92,0.0
2018-03-26,2018-03-30,Second Class,California,Furniture,52.39,9.0,0.0
2018-03-26,2018-03-31,Second Class,California,Furniture,65.49,9.43,0.2
2018-03-26,2018-03-31,Second Class,California,Furniture,130.98,2.88,0.2
2018-03-26,2018-03-30,Standard Class,California,Furniture,87.32,8.62,0.0
2018-03-26,2018-03-31,Second Class,California,Furniture,130.98,0.84,0.0
2018-03-28,2018-04-02,Standard Class,Iowa,Furniture,87.32,2.88,0.0
2018-03-28,2018-04-02,Standard Class,Iowa,Furniture,65.49,106.62,0.0
2018-03-28,2018-04-01,Standard Class,New Mexico,Furniture,87.32,22.68,0.2
2018-03-28,2018-04-03,Standard Class,Ohio,Furniture,261.96,-143.25,0.4
2018-03-29,2018-04-02,Standard Class,Texas,Furniture,87.32,-152.72,0.3
2018-03-30,2018-04-05,Standard Class,Minnesota,Furniture,130.98,6.46,0.0
2018-03-30,2018-04-01,First Class,Texas,Furniture,37.42,-9.09,0.3
2018-03-30,2018-04-01,First Class,Texas,Furniture,37.42,88.18,0.2
2018-03-30,2018-04-01,First Class,Texas,Furniture,52.39,113.31,0.2
2018-03-30,2018-03-31,First Class,New York,Furniture,52.39,2.94,0.0
2018-03-30,2018-04-04,Standard Class,Washington,Furniture,87.32,0.0,0.0
2018-03-30,2018-04-03,Standard Class,New York,Furniture,52.39,20.85,0.0
2018-03-30,2018-04-04,Standard Class,California,Furniture,130.98,-12.1,0.15
2018-03-30,2018-04-04,Standard Class,Washington,Furniture,87.32,22.2,0.0
2018-03-31,2018-03-31,Same Day,Florida,Furniture,130.98,1.06,0.2
2018-03-31,2018-04-04,Standard Class,Florida,Furniture,261.96,-1.31,0.7
2018-03-31,2018-03-31,Same Day,Florida,Furniture,52.39,-10.12,0.7
2018-03-31,2018-03-31,Same Day,Florida,Furniture,37.42,98.48,0.2
2018-03-31,2018-04-04,Standard Class,Illinois,Furniture,130.98,14.0,0.2
2018-03-31,2018-03-31,Same Day,Pennsylvania,Furniture,261.96,-0.6,0.7
2018-03-31,2018-04-05,Standard Class,California,Furniture,130.98,14.83,0.0
2018-03-31,2018-04-05,Standard Class,California,Furniture,130.98,252.59,0.2
2018-03-31,2018-04-04,Standard Class,Illinois,Furniture,37.42,-13.83,0.8
2018-04-01,2018-04-06,Second Class,California,Furniture,130.98,14.8,0.0
2018-04-01,2018-04-06,Second Class,California,Furniture,65.49,5.55,0.2
2018-04-01,2018-04-06,Standard Class,Massachusetts,Furniture,65.49,2.68,0.0
2018-04-01,2018-04-06,Standard Class,Massachusetts,Furniture,130.98,3.06,0.0
2018-04-02,2018-04-08,Standard Class,Virginia,Furniture,130.98,46.2,0.0
2018-04-02,2018-04-06,Second Class,Texas,Furniture,37.42,10.47,0.2
2018-04-02,2018-04-06,Second Class,Texas,Furniture,52.39,9.35,0.2
2018-04-02,2018-04-08,Standard Class,Georgia,Furniture,37.42,293.98,0.0
2018-04-02,2018-04-08,Standard Class,Georgia,Furniture,87.32,7.13,0.0
2018-04-02,2018-04-08,Standard Class,Georgia,Furniture,52.39,40.27,0.0
2018-04-03,2018-04-08,Standard Class,California,Furniture,130.98,5.58,0.0
2018-04-03,2018-04-08,Standard Class,California,Furniture,87.32,22.43,0.0
2018-04-03,2018-04-08,Standard Class,California,Furniture,130.98,57.59,0.0
2018-04-04,2018-04-08,Standard Class,Louisiana,Furniture,130.98,6.35,0.0
2018-04-04,2018-04-08,Standard Class,Louisiana,Furniture,87.32,9.33,0.0
2018-04-04,2018-04-08,Standard Class,Louisiana,Furniture,52.39,9.3,0.0
2018-04-04,2018-04-08,Standard Class,Louisiana,Furniture,130.98,42.99,0.0
2018-04-04,2018-04-09,Standard Class,Michigan,Furniture,65.49,23.81,0.0
2018-04-04,2018-04-09,Standard Class,California,Furniture,43.66,9.07,0.0
2018-04-04,2018-04-05,First Class,California,Furniture,130.98,2.25,0.2
2018-04-04,2018-04-09,Standard Class,Michigan,Furniture,261.96,2.35,0.0
2018-04-05,2018-04-07,Second Class,Michigan,Furniture,130.98,7.48,0.0
2018-04-05,2018-04-09,Standard Class,Kentucky,Furniture,37.42,56.53,0.0
2018-04-05,2018-04-07,Second Class,Michigan,Furniture,43.66,20.69,0.0
2018-04-05,2018-04-07,Second Class,Michigan,Furniture,87.32,4.58,0.0
2018-04-05,2018-04-07,Second Class,Michigan,Furniture,52.39,18.09,0.0
2018-04-05,2018-04-07,First Class,Illinois,Furniture,65.49,3.72,0.2
2018-04-05,2018-04-07,First Class,Illinois,Furniture,65.49,3.91,0.2
2018-04-05,2018-04-09,Second Class,Virginia,Furniture,37.42,6.66,0.0
2018-04-05,2018-04-09,Second Class,Virginia,Furniture,130.98,6.35,0.0
2018-04-05,2018-04-09,Second Class,Virginia,Furniture,261.96,8.41,0.0
2018-04-05,2018-04-09,Second Class,Virginia,Furniture,37.42,7.58,0.0
2018-04-05,2018-04-07,First Class,New York,Furniture,261.96,26.63,0.0
2018-04-05,2018-04-09,Second Class,Virginia,Furniture,52.39,83.28,0.0
2018-04-06,2018-04-12,Standard Class,California,Furniture,37.42,12.91,0.0
2018-04-06,2018-04-10,Second Class,California,Furniture,130.98,23.77,0.2
2018-04-06,2018-04-10,Second Class,California,Furniture,87.32,18.45,0.0
2018-04-06,2018-04-12,Standard Class,California,Furniture,261.96,26.63,0.0
2018-04-06,2018-04-12,Standard Class,California,Furniture,87.32,9.33,0.0
2018-04-06,2018-04-10,Second Class,California,Furniture,87.32,131.99,0.0
2018-04-06,2018-04-12,Standard Class,Washington,Furniture,130.98,2.03,0.0
2018-04-06,2018-04-12,Standard Class,Washington,Furniture,87.32,111.1,0.0
2018-04-06,2018-04-08,First Class,Pennsylvania,Furniture,130.98,21.9,0.2
2018-04-06,2018-04-08,First Class,Pennsylvania,Furniture,87.32,-36.11,0.4
2018-04-06,2018-04-08,First Class,Pennsylvania,Furniture,261.96,-2.19,0.2
2018-04-06,2018-04-10,Standard Class,Pennsylvania,Furniture,43.66,-35.93,0.7
2018-04-06,2018-04-12,Standard Class,California,Furniture,130.98,15.63,0.0
2018-04-07,2018-04-07,Same Day,Georgia,Furniture,29.11,27.99,0.0
2018-04-07,2018-04-12,Standard Class,South Carolina,Furniture,87.32,60.26,0.0
2018-04-07,2018-04-07,Same Day,Georgia,Furniture,87.32,50.24,0.0
2018-04-07,2018-04-10,First Class,Alabama,Furniture,130.98,2.78,0.0
2018-04-07,2018-04-12,Standard Class,South Carolina,Furniture,52.39,163.79,0.0
2018-04-08,2018-04-15,Standard Class,Arizona,Furniture,130.98,0.83,0.2
2018-04-08,2018-04-15,Standard Class,Arizona,Furniture,87.32,6.89,0.2
2018-04-08,2018-04-12,Standard Class,Alabama,Furniture,32.75,316.14,0.0
2018-04-08,2018-04-13,Standard Class,Arizona,Furniture,32.75,-11.83,0.2
